i,Year,Month,Pm [mm]
295,2005,8,241.3
296,2005,9,230
297,2005,10,218.6
298,2005,11,220.7
299,2005,12,198.7
300,2006,1,330.2
301,2006,2,111.7
302,2006,3,295.2
303,2006,4,233.8
304,2006,5,394
305,2006,6,367.7
306,2006,7,392.3
307,2006,8,240.7
308,2006,9,238.7
309,2006,10,247.9
310,2006,11,281.6
311,2006,12,287.1
312,2007,1,118.6
313,2007,2,13.8
314,2007,3,249.9
315,2007,4,412.8
316,2007,5,407.1
317,2007,6,441.9
318,2007,7,339.1
319,2007,8,299.5
320,2007,9,308.3
321,2007,10,249.6
322,2007,11,184.6
323,2007,12,216.7
324,2008,1,128.5
325,2008,2,207.9
326,2008,3,196.3
327,2008,4,304.9
328,2008,5,394.1
329,2008,6,487.8
330,2008,7,417
331,2008,8,398.8
332,2008,9,281.1
333,2008,10,268.8
334,2008,11,227.6
335,2008,12,252.4
336,2009,1,321.2
337,2009,2,177
338,2009,3,288.8
339,2009,4,288.3
340,2009,5,276.3
341,2009,6,399.5
342,2009,7,424.8
343,2009,8,322.5
344,2009,9,225
345,2009,10,215.8
346,2009,11,195.1
347,2009,12,134.6
348,2010,1,84.3
349,2010,2,146.9
350,2010,3,289.2
351,2010,4,397.7
352,2010,5,460
353,2010,6,375.6
354,2010,7,367
355,2010,8,340.6
356,2010,9,196.4
357,2010,10,227.6
358,2010,11,244.7
359,2010,12,235.2
360,2011,1,117.8
361,2011,2,187.4
362,2011,3,304.2
363,2011,4,331.2
364,2011,5,446
365,2011,6,381.4
366,2011,7,384.6
367,2011,8,282
368,2011,9,266.2
369,2011,10,232.2
370,2011,11,224.6
371,2011,12,215.3
372,2012,1,208.4
373,2012,2,203.7
374,2012,3,365.3
375,2012,4,335.7
376,2012,5,350.4
377,2012,6,304.9
378,2012,7,441.6
379,2012,8,415.9
380,2012,9,302.2
381,2012,10,207.2
382,2012,11,176.5
383,2012,12,189.7
384,2013,1,23.8
385,2013,2,253.9
386,2013,3,352.2
