Year;Month;Etot1m [mm]
2005; 2; 113.2
2005; 3; 136.7
2005; 4; 101.7
2005; 5; 98.7
2005; 6; 93.2
2005; 7; 98.4
2005; 8; 108.5
2005; 9; 121.1
2005; 10; 120.0
2005; 11; 113.2
2005; 12; 115.5
2006; 1; 107.5
2006; 2; 121.4
2006; 3; 116.9
2006; 4; 109.8
2006; 5; 93.8
2006; 6; 90.5
2006; 7; 94.1
2006; 8; 114.1
2006; 9; 122.2
2006; 10; 123.3
2006; 11; 109.1
2006; 12; 111.9
2007; 1; 134.8
2007; 2; 112.0
2007; 3; 116.3
2007; 4; 105.3
2007; 5; 94.6
2007; 6; 83.3
2007; 7; 103.7
2007; 8; 114.2
2007; 9; 114.4
2007; 10; 122.5
2007; 11; 112.6
2007; 12; 121.3
2008; 1; 132.1
2008; 2; 117.7
2008; 3; 128.2
2008; 4; 114.0
2008; 5; 88.2
2008; 6; 89.6
2008; 7; 94.2
2008; 8; 113.1
2008; 9; 119.2
2008; 10; 120.7
2008; 11; 107.7
2008; 12; 117.7
2009; 1; 111.1
2009; 2; 120.0
2009; 3; 120.2
2009; 4; 108.5
2009; 5; 105.3
2009; 6; 90.2
2009; 7; 98.8
2009; 8; 107.6
2009; 9; 123.3
2009; 10; 126.3
2009; 11; 121.9
2009; 12; 128.7
2010; 1; 137.9
2010; 2; 121.1
2010; 3; 132.2
2010; 4; 103.0
2010; 5; 89.3
2010; 6; 95.6
2010; 7; 96.4
2010; 8; 105.6
2010; 9; 125.7
2010; 10; 127.2
2010; 11; 111.5
2010; 12; 116.5
2011; 1; 128.6
2011; 2; 109.6
2011; 3; 120.5
2011; 4; 100.6
2011; 5; 87.3
2011; 6; 95.8
2011; 7; 95.1
2011; 8; 122.9
2011; 9; 117.8
2011; 10; 121.8
2011; 11; 112.9
2011; 12; 111.0
2012; 1; 128.2
2012; 2; 124.1
2012; 3; 113.3
2012; 4; 99.8
2012; 5; 94.9
2012; 6; 98.9
2012; 7; 94.2
2012; 8; 104.2
2012; 9; 118.6
2012; 10; 130.1
2012; 11; 124.1
2012; 12; 124.2
2013; 1; 130.6
2013; 2; 108.8
2013; 3; 126.7
2013; 4; 111.1
2013; 5; 96.5
2013; 6; 95.9
2013; 7; 100.4
2013; 8; 104.8
2013; 9; 118.0
2013; 10; 129.4
2013; 11; 122.4
2013; 12; 129.3
2014; 1; 132.4
2014; 2; 121.5
2014; 3; 129.2
2014; 4; 104.2
2014; 5; 105.2
2014; 6; 86.2
2014; 7; 97.6
2014; 8; 110.8
2014; 9; 118.6
2014; 10; 120.8
2014; 11; 114.8
2014; 12; 125.9
2015; 1; 125.6
2015; 2; 120.2
2015; 3; 128.0
2015; 4; 106.5
2015; 5; 99.4
2015; 6; 89.7
2015; 7; 90.9
2015; 8; 109.2
2015; 9; 129.6
2015; 10; 126.9
2015; 11; 112.5
2015; 12; 131.5
2016; 1; 126.9
2016; 2; 113.9
2016; 3; 137.1
2016; 4; 101.7
2016; 5; 91.1
2016; 6; 89.6
2016; 7; 97.4
2016; 8; 114.6
2016; 9; 123.1
2016; 10; 123.0
2016; 11; 113.9
2016; 12; 115.9
2017; 1; 121.6
2017; 2; 126.9
2017; 3; 121.5
2017; 4; 116.4
2017; 5; 103.7
2017; 6; 86.0
2017; 7; 90.5
2017; 8; 125.4
2017; 9; 124.4
2017; 10; 123.7
2017; 11; 109.7
2017; 12; 126.4
2018; 1; 125.2
2018; 2; 123.1
2018; 3; 121.6
2018; 4; 99.8
2018; 5; 86.8
2018; 6; 84.0
2018; 7; 98.1
2018; 8; 118.4
2018; 9; 125.1
2018; 10; 120.0
2018; 11; 111.6
2018; 12; 130.7
2019; 1; 133.5
2019; 2; 130.3
2019; 3; 132.4
2019; 4; 113.9
2019; 5; 93.3
2019; 6; 87.4
2019; 7; 99.6
2019; 8; 113.9
2019; 9; 130.3
2019; 10; 120.5
2019; 11; 113.9
2019; 12; 113.2
2020; 1; 138.0
2020; 2; 124.0
2020; 3; 127.5
2020; 4; 120.0
2020; 5; 102.8
2020; 6; 98.2
2020; 7; 102.5
2020; 8; 104.4
2020; 9; 137.0
2020; 10; 138.3
2020; 11; 114.8
2020; 12; 121.2
2021; 1; NaN
2021; 2; NaN
2021; 3; NaN
2021; 4; NaN
2021; 5; NaN
2021; 6; NaN
2021; 7; NaN
2021; 8; NaN
2021; 9; NaN
2021; 10; NaN
2021; 11; NaN
2021; 12; NaN
